ID,Short Name,Long Name,Type,Internal Link,External Link,Summary,Read Time,Requires an Account,       Demountable Design,       Designing for Mixed-Use,       Modular Design,       Designing for Adaptive Reuse,       Maximizing Space Utilization,       Designing for Material Optimization,       3D Printing Cradle to Cradle Material,       Prefabrication,       Selling Renewable Energy,       Internet of Things / BIM for Operations,       Space Utilization,       Existing Structure,       Adaptive Reuse of Existing Building,       Harvesting Grey Water,       Harvesting Runoff,       Natural Lighting and Ventilation,       Upcycling,       Downcycling,       Salvaged Materials from Demolitions,       Open Source Design,       Material Passports,       Storage and Distribution Facilities,       Connecting Salvage Supply and Demand,       Remanufacturing Salvaged Materials,       Capturing Waste Material from Other Industries,       Brownfield Remediation,       Take-Back Services,       Leased Materials,       Product as a Service (PaaS),       Optimizing Material Transportation,,
1,Madaster,,Resource,,https://madaster.com/,"Madaster is a register for materials and products used in a built construction. This platform generates a secure web-based passport of a registered building which contains the quality, origin and location of the materials used within the project and provides insight into the value of its reuse.",,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
2,Houseful,,Resource,,https://houseful.eu/,"Houseful is a European based initiative which seeks to develop methodologies to quantify the circularity of projects, asses their potential environmental and socioeconomic impact, and deliver policy recommendations to local, regional and national levels. A series of projects across Europe will be used to demo HOUSEFUL's solutions.",,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
3,Knowledge Hub - Circle Lab,,Resource,,https://knowledge-hub.circle-lab.com/,Knowledge Hub provides searchable and curated links to circular case studies and resources across all industries. ,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
4,Material Passports - BAMB,,Learn,,https://www.bamb2020.eu/topics/materials-passports/circular/,Buildings As Material Banks (BAMB) is a project focused on developing the tools and policy needed to  enable a systemic shift from current models of linear construction to a circular economy. ,2 min,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
5,Old Into New,Old into new: Recycled bricks form facade of Copenhagen housing project,Example,,https://www.architectsjournal.co.uk/buildings/old-into-new-recycled-bricks-form-facade-of-copenhagen-housing-project,"This case study examines the use of recycled bricks in the facade of a Copenhagen housing project. Designed by Lendager, a firm in Denmark delivering sustainable building project solutions, the Resource Rows project demonstrates a powerful proof-of-concept for sourcing local materials from demolition and delivering innovative design.",10 min,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
6,Urban Mining,"Urban Mining and Circular construction - what, why and how it works",Learn,,https://www.metabolic.nl/news/urban-mining-and-circular-construction/,This essay from Merlijn Blok explores the concept of urban mining and its role in restructuring the built environment construction economy to recapture the millions of tons of demolition waste sent to landfill each year. ,10 min,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
7,Kalundborg Eco-Industrial Park,,Example,,http://www.symbiosis.dk/en/,"The Kalundborg Symbiosis is a case study in industrial symbiosis, and it demonstrates the immense potential of a circular flow of materials and energy to reduce negative social and environmental impact, and generate financial value.",,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
8,re[TURN] ShawContract,,Example,,https://www.shawcontract.com/en-us/sustainability/re-turn,Learn more about ShawContract EcoWorx products reclamation program and closed-loop cycle. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
9,Leasing Materials,,Learn,,https://community.materialtrader.com/leasing-the-new-circular-ownership-model/,Current ownership models for products in the built environment typically results in goods and commodities being discarded at the end of their useful life. This article discusses how the leasing model can be applied to the built environment to make the industry more circular.,5 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
10,Phillips Innovation,Philips transition from linear to Circular Economy,Example,,"https://www.innovationservices.philips.com/news/philips-transition-linear-circular-economy/#:~:text=%27%20An%20example%20of%20how%20Philips,integrated%20part%20of%20Refurbished%20Systems.","Philips discusses the transition to a circular model based on paying for a level of performance, rather than paying for product ownership.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
11,Quay Quarter Tower,,Example,,https://3xn.com/project/quay-quarter-tower-2,"This case study highlights the Quay Quarter Tower in Sydney, Australia.",,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,
12,Eatery Designed for Disassembly,A Waterfront Eatery in Demark is Designed for Disassembly,Example,,https://www.metropolismag.com/architecture/braunstein-taphouse-designed-for-disassembly/?utm_campaign=MET%20Sustainability%20Newsletter&utm_medium=email&_hsmi=112756388&_hsenc=p2ANqtz-9umoImmTccPJd9V7RLbMl1OSnCPZqI9_-lzku1Kdar68vKKEQkKJJk2pR0Cy1ebrgaTfobRGtHWDlq1OioogvzJQvYNw&utm_content=112756388&utm_source=hs_email,This waterfront eatery in Denmark demonstrates how a project can use the end of its useful life as a foundational tenet of its design. ,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Circle House,,Example,,https://gxn.3xn.com/project/circle-house,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Modular Architecture,Modular Architecture: When Beauty and Efficiency Meet,Learn,,https://www.arch2o.com/language-modular-architecture/,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Prefab and Modularity,The Potential of Prefab: How Modular Construction Can Be Green,Learn,,https://www.buildinggreen.com/feature/potential-prefab-how-modular-construction-can-be-green?utm_source=BuildingGreen.com+Mailing+List&utm_campaign=d60c22692d-BGB_20%2F5%2F18_Premium_Group&utm_medium=email&utm_term=0_d558b0594a-d60c22692d-157741972&mc_cid=d60c22692d&mc_eid=457e0f9957,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
16,Space Planning,,Resource,,https://serraview.com/solutions-5/space-planning/?utm_term=space%20utilization&utm_campaign=Serraview+%7C+Space+Management+Search&utm_source=adwords&utm_medium=ppc&hsa_acc=1343442894&hsa_cam=808159332&hsa_grp=37282111850&hsa_ad=473363240300&hsa_src=g&hsa_tgt=kwd-300410374682&hsa_kw=space%20utilization&hsa_mt=p&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiAmrOBBhA0EiwArn3mfAAfWesSXBB20g9Qupq7He4iMHYbdJDW2JsZPyfpR4ZOZwcC2c3NoBoCW70QAvD_BwE,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
